# Migration Report
# Generated: 2026-08-04T04:52:25.297Z
# Elapsed: 5.2s
# Migrated: 2 | Skipped: 1580 | Errors: 0
#
SKIPPED | BIO/101/2023/Bio101-Topic 1-Chemistry of water (By Dr. Rajesh Ramchandran).ppt |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Midsem/Mid Sem 1 Student Answer Key.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Midsem/Mid Semester 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Midsem/Mid Semester Examination 1 QP.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Midsem/Mid_Sem_2_Answer_Key.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Notes/Frequency_dependent_selection_and_mutation.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Notes/Migration_and_Drift.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Notes/Neutral_Theory_of_Molecular_Evolution.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Notes/Speciation.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Population Genetics (Notes)/Population Genetics 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Population Genetics (Notes)/Population Genetics 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Quantitative Genetics (Notes)/Quantitative_Genetics.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Quiz/Class Test 2 2026 Answer Key.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Quiz/Class test 1 2026 Answer Key.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Quiz/Class test 3 2026 Answer Key.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Quiz/Practive_Problems_QG_Molecular_Evolution_Mutation_Drift.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/Quiz/QG_etc_practice_problem_Answer_Key.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/conceptual questions set 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/2026/practice problems.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/1-Rajesh-Cell division.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/10-Rajesh-Regulation of Gene Expression in Bacteria.pptx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/11-Rajesh-Regulation of transcription in Eukaryotes.pptx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/13-Rajesh-Animal development.ppt |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/2-Rajesh-Mitosis.pptx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/3-Rajesh-Meiosis.pptx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/4-Rajesh-Chromosomes and inheritance.ppt |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/5-Rajesh-Cell cycle control.ppt |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/6-Rajesh-Molecular basis of inheritance.ppt |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/7-Rajesh-Central Dogma.ppt |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/8-Rajesh-Prokaryotic Transcription.ppt |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/9-Rajesh-Eukaryotic Transcription and Translation.pptx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/Joginder-Development Biology_Lec 1.pptx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/Joginder-Development Biology_Lec 2.pptx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/Joginder-Development Biology_Lec 3.pptx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/LectureNotes/Joginder-Development Biology_Lec 4.pptx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/Weekly Highlights/Week 1 Highlights.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/Weekly Highlights/Week 11 onwards - Evolution.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/Weekly Highlights/Week 2 Highlights.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/Weekly Highlights/Week 3 Highlights.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/Weekly Highlights/Week 4 Highlights.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/Weekly Highlights/Week 5 Highlights.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/Weekly Highlights/Week 7 Highlights.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/102/unknown/Weekly Highlights/Week 9-10 Highlights combined.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/2023/MS23_BIO111_Lab Manual (2).pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/Protocols/bio1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/Protocols/bio2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/Protocols/bio3.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/Protocols/bio4.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/Protocols/bio5.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/Protocols/bio6.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/Protocols/bio7.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/Protocols/bio8.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/111/Protocols/bio9.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/112/2026/Reading material/Chi_Square_Tests_in_Genetics.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/112/2026/Reading material/Drosophila_Crosses (1).pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/112/2026/Reading material/Quantitative_Genetics.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/112/Protocols/P1,2 Media and Buffers_final_2015.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/112/Protocols/P10 Induction.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/112/Protocols/P3,6 Transformation of E. coli_2019.docx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/112/Protocols/P4 Plasmid_Isolation_from_E._coli_final_2015.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/112/Protocols/P7,8 PCR.docx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/112/Protocols/P9 Restriction Enzymes Digestion and GE.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/201/2025/Mid sem/20251015_134518(1).jpg |  |  | Already QPR-LFS-R2
SKIPPED | BIO/201/2025/Mid sem/20251015_134533.jpg |  |  | Already QPR-LFS-R2
SKIPPED | BIO/201/2025/Mid sem/20251015_134541.jpg |  |  | Already QPR-LFS-R2
SKIPPED | BIO/201/2025/Mid sem/20251015_134553.jpg |  |  | Already QPR-LFS-R2
SKIPPED | BIO/202/2020/Class Notes.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/202/2020/Measurement of Biodiversity.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/202/2025/Midsem/BIO202 Midsem 1 Solutions 2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/202/2025/Midsem/BIO202 Midsem 2 Solved 2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/204/2025/Midsem/BIO204 PYQ.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/204/2026/Endsem/BIO204_Endsem_2026_Solved.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/204/2026/Midsem/MidSem1-bio204-solutions.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/204/2026/Midsem/MidSem2-bio204-solutions.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/204/2026/Midsem/bio204 bioinfo Shashi.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/212/unknown/Channa.xlsx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/212/unknown/Life Table of Balanus.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/212/unknown/population.docx |  |  | Already QPR-LFS-R2
SKIPPED | BIO/302/2023/Endsem/Scanned_Doc_2026-05-19.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/304/2023/Midsem/Scanned_Doc_2026-05-19.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/306/2024/Midsem1.jpg |  |  | Already QPR-LFS-R2
SKIPPED | BIO/401/2024/Endsem/Bio 401 (2024).jpeg |  |  | Already QPR-LFS-R2
SKIPPED | BIO/401/2025/Endsem/401 bio endsem.jpeg |  |  | Already QPR-LFS-R2
SKIPPED | BIO/401/2025/Midsem/Bio401 2nd Mid Sem.jpeg |  |  | Already QPR-LFS-R2
SKIPPED | BIO/401/2025/Midsem/bio 401 midsem 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/411/2022/Endsem/bio 411QP_solutions-1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/411/2025/Endsem/ENDSEM-MCQ-bio411-solution.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/411/2025/Endsem/EndSemester-BIO411-solutions.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/411/2025/Midsem/1st-MidSemester-solutions.pdf |  |  | Already QPR-LFS-R2
SKIPPED | BIO/411/2025/Midsem/MidSemester-2-solutions.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2023/question_papers/CHM101_2023_endsem.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/1. Lecture Notes.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/15-9-24.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/19-10-24.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/2. Lecture Notes.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/28-9-24.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/3. Lecture Notes.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/7-9-24.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/9-11-24.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/Acid_Base_HSAB.pptx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/Bonding.pptx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/2025/Midsem/chm101_midsem_2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/unknown/Nomenclature.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/unknown/Slides/1-2_nomenclature.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/unknown/Slides/3-7_Isomerism.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/unknown/Slides/8-13_SN-Elimination.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/unknown/Slides/Addition.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/unknown/Slides/Coordination_Chem.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/unknown/Slides/VBT_MOT.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/unknown/Slides/carbon monoxide.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/101/unknown/WhatsApp Image 2018-11-29 at 9.39.18 PM.jpeg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2017/Assignment- 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2017/Assignment- 3.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2017/CHM102-Assign 4.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2017/CHM102-Assign 5.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2017/CHM102-Assign 6.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2017/CHM102-Assign 7.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2017/CHM102-Assign 8.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2018/problem-sub1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2018/problemset1-p-in-a-b.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2018/problemset2-operators.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2018/surprise1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2018/tutorial1-operators.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2018/tutorial2-av-herm.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2022/Endsems1.jpg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2022/Endsems2.jpg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2022/Midsem1.jpg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2022/Midsem2.jpg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/Assignments/CHM102 Practice problems set-1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/Assignments/CHM102-Problem set 3 - Stereochemistry-Aromaticity-Energy profiles-solutions-Lecture 42.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/Assignments/CHM102-Problem set 3 - Stereochemistry-EnergyProfiles-Aromaticity.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/Assignments/CHM102-Problem set 4 - Reactive intermediates and reactivity aspects-solutions-Lecture 41.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/Assignments/CHM102-Problem set 4 - Reactive intermediates and reactivity aspects.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/Assignments/Practice problems set-2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/Assignments/assignment1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/1lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/2lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/3lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/4a lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/4b lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/5 lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/6 lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/7 lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/8 lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/ClassNotes/9 lec.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2024/Endsem.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Lecture Slides/CHM102-Lecture slides - classes 01-04 - 09012026 - Course details-Intro-OC in life-Nomeclature.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Lecture Slides/CHM102-Lecture slides - classes 09-10- 22-23012026 - Field effect-resonance-hyperconjugation.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Lecture Slides/CHM102-Lecture slides - classes 11-13- 28-30012026 - Hyperconjugation-Tautomerism-Problemset-1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Lecture Slides/CHM102-Lecture slides-classes 11-15-02-2027-Aromaticity-Acidity-Basicity-Conformations.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Lecture Slides/Lecture 6-8.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Lecture Slides/Lecture-5 Nomenclature of heterocyclic compounds .pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Lecture notes/CHM102-Lecture slides-class 18-20-03-2026-Conformational analysis-Stereochemistry.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Lecture notes/CHM102-Lecture slides-class 26-02-2026-Conformational analysis (1).pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Lecture notes/CHM102-Lecture slides-classes 18 and 25-02-2027-Conformational analysis.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Practice material/CHM102 Problems set-2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Practice material/CHM102 problems set-1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Practice material/CHM102 problems set-2-solutions.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Practice material/CHM102-Practice problems-Nomeclature.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Practice material/CHM102-Problem set 3 - Stereochemistry-EnergyProfiles.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/2026/Practice material/CHM102-Problem set 4-Reactive Intermediates-Reactivity-Selectivity.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/unknown/Assignment 2 (1).jpg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/unknown/Assignment 2 (2).jpg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/unknown/Assignment 2 (3).jpg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/unknown/Assignment 2 (4).jpg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/102/unknown/term_symbols for p2.doc |  |  | Already QPR-LFS-R2
SKIPPED | CHM/111/LabManuals/1_1_melting_point_and_organic.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/111/LabManuals/1_2_old_organic.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/111/LabManuals/2_1_Acid_radical_protocol.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/111/LabManuals/2_2_sodium_carbonate_anion_tests.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/111/LabManuals/2_3_common_anion_tests.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/111/LabManuals/3_basic_radicals.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/111/LabManuals/Final.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/126CHM112protocolFeb22016.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/216CHM112 PROTOCOL (2).docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/223Estimation of Ca2 from mixture.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/301Iodometry_MS15.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/315CHM112 PROTOCOL.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/CHM112 PROTOCOL (2).docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/CHM112 PROTOCOL-15th March.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/CHM112protocol19Jan2016.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/CHM112protocolFeb22016.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/Estimation of Ca2 from mixture.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/Formula used in solving numerical problems on volumetric analysis.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/Gravimetric Analysis.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/Iodometry_MS15.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/112/LabManuals/Titrimetric Determination of Alkanity_SR.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2014/Midsem/MS2 2014.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2021/End-Sem 2021_ANS KEY.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2021/Endsems 2021.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2021/Mid-SEM_CHM201_2021.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2022/201 Endsems.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2022/Midsems 1 2022.jpeg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2022/Midsems 2 2022.jpeg |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2024/Midsem/CHM201 Midsem 2 2024.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2025/Assignments/Endsem-sample question (1).docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2025/Assignments/Preparatory Assignments CHM 201-1.docx |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2025/Assignments/Spectral-problems-assignment.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2025/Endsem/Endsem.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2025/Midsem/CHM201 Midsem 1 2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/2025/Midsem/CHM201 Midsem 2 2025.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/unknown/CHM 201_Introduction.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/201/unknown/Term states for p2 configuration.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_10.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_3.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_4.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_5.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_6.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_7_Updated.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_8.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2019/Assignments/CHM202_Assignment_9_Updated.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2021/Chem Endsems.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2022/Chem Midems 2.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2022/Chem Midsems 1.pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2022/chm 202 midsem 2 answer key .pdf |  |  | Already QPR-LFS-R2
SKIPPED | CHM/202/2025/Endsem/chm202endsem2025.pdf |  |  | Already QPR-LFS-R2
